name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
secrets_found,5,,,,,,,,,5,lower_case_with_underscores,"['secrets', 'found']"
contacted,6,,,,,,2,,,4,lowercase,['contacted']
availability_zone,1,,,,,,,,,1,lower_case_with_underscores,"['availability', 'zone']"
get_ancestors,4,1,,,,,,,,3,lower_case_with_underscores,"['get', 'ancestors']"
random,18,,,10,,,,,,8,lowercase,['random']
found_paths,4,,,,,,,,,4,lower_case_with_underscores,"['found', 'paths']"
has_key,17,,,,,,,,,17,lower_case_with_underscores,"['has', 'key']"
Template,1,,,,,,,,,1,CapitalizedWords,['template']
gitdir,4,,,,,,,,,4,lowercase,['gitdir']
parse_kv,20,1,,3,,,,,,16,lower_case_with_underscores,"['parse', 'kv']"
MODULE_COMPLEX_ARGS,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['module', 'complex', 'args']"
ssh_keys,2,,,,,,,,,2,lower_case_with_underscores,"['ssh', 'keys']"
TemplateSyntaxError,2,,,1,,,,,,1,CapitalizedWords,"['template', 'syntax', 'error']"
get_bin_path,2,1,,,,,,,,1,lower_case_with_underscores,"['get', 'bin', 'path']"
last_category,3,,,,,,,,,3,lower_case_with_underscores,"['last', 'category']"
orig_uid,3,,,,,,,,,3,lower_case_with_underscores,"['orig', 'uid']"
FILTERS,5,,,,,,,,,5,UPPERCASE,"['filter', 's']"
oct,1,,,,,,,,,1,lowercase,['oct']
ansible_version,1,,,,,,,,,1,lower_case_with_underscores,"['ansible', 'version']"
test_simple_ungrouped,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'simple', 'ungrouped']"
runas_opts,2,,,,,,,,,2,lower_case_with_underscores,"['runas', 'opts']"
setdefaultencoding,3,,,,,,,,,3,lowercase,['setdefaultencoding']
dc,3,,,,,,,,,3,lowercase,['dc']
set_owner_if_different,3,1,,,,,,,,2,lower_case_with_underscores,"['set', 'owner', 'if', 'different']"
play_basedirs,6,,,,,,,,,6,lower_case_with_underscores,"['play', 'basedirs']"
test_hosts_list,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'hosts', 'list']"
test_script_restrict,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'script', 'restrict']"
_handle_aliases,2,1,,,,,,,,1,lower_case_with_underscores,"['handle', 'aliases']"
ds,128,,,,,,,,,128,lowercase,['ds']
required_together,2,,,,,,,,,2,lower_case_with_underscores,"['required', 'together']"
REGION,14,,,,,,,,,14,UPPERCASE,"['regio', 'n']"
public,5,,,,,,,,,5,lowercase,['public']
reload,3,,,,,,,,,3,lowercase,['reload']
get_datacenter_city,3,1,,,,,,,,2,lower_case_with_underscores,"['get', 'datacenter', 'city']"
st_uid,4,,,,,,,,,4,lower_case_with_underscores,"['st', 'uid']"
module_path,23,,,,,,4,,,19,lower_case_with_underscores,"['module', 'path']"
runner_on_no_hosts,3,3,,,,,,,,,lower_case_with_underscores,"['runner', 'on', 'no', 'hosts']"
_get_group_variables,2,1,,,,,,,,1,lower_case_with_underscores,"['get', 'group', 'variables']"
r53_conn,3,,,,,,,,,3,lower_case_with_underscores,"['r53', 'conn']"
complex_args_json,2,,,,,,,,,2,lower_case_with_underscores,"['complex', 'args', 'json']"
makefile_stderr,1,,,,,,,,,1,lower_case_with_underscores,"['makefile', 'stderr']"
new_context,12,1,,,,,1,,,10,lower_case_with_underscores,"['new', 'context']"
set_mode_if_different,3,1,,,,,,,,2,lower_case_with_underscores,"['set', 'mode', 'if', 'different']"
test_subset_filename,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'subset', 'filename']"
host_result,14,,,,,,,,,14,lower_case_with_underscores,"['host', 'result']"
_groups_list,9,,,,,,,,,9,lower_case_with_underscores,"['groups', 'list']"
selinux_enabled,10,1,,,,,,,,9,lower_case_with_underscores,"['selinux', 'enabled']"
result,518,,,,,,52,,,466,lowercase,['result']
fail_on_missing,4,,,,,,,,,4,lower_case_with_underscores,"['fail', 'on', 'missing']"
DNAME6,2,,,,,,,,,2,UPPERCASE,['dname6']
subject,20,,,,,,4,,,16,lowercase,['subject']
check_output,2,,,,,,,,,2,lower_case_with_underscores,"['check', 'output']"
actual_user,7,,,,,,,,,7,lower_case_with_underscores,"['actual', 'user']"
