name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
module_loading,15,,,15,,,,,,,lower_case_with_underscores,"['module', 'loading']"
import_string,46,1,,14,,,,,,31,lower_case_with_underscores,"['import', 'string']"
weight_rule,19,1,,4,,3,,,,11,lower_case_with_underscores,"['weight', 'rule']"
WeightRule,15,,1,4,,,,,,10,CapitalizedWords,"['weight', 'rule']"
warnoptions,1,,,,,,,,,1,lowercase,['warnoptions']
filterwarnings,2,,,,,,,,,2,lowercase,['filterwarnings']
action,221,,,1,,12,98,,,110,lowercase,['action']
category,76,,,,,7,56,,,13,lowercase,['category']
DeprecationWarning,204,,,,,,,,,204,CapitalizedWords,"['deprecation', 'warning']"
module,25,,,,,1,2,,,22,lowercase,['module']
PendingDeprecationWarning,1,,,,,,,,,1,CapitalizedWords,"['pending', 'deprecation', 'warning']"
_SQLITE3_VERSION_PATTERN,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['sqlite3', 'version', 'pattern']"
compile,42,3,,,,,,,,39,lowercase,['compile']
ConfigType,3,,,,,,,,,3,CapitalizedWords,"['config', 'type']"
int,1413,,,,,,1,,,1412,lowercase,['int']
float,729,,,,,,,,,729,lowercase,['float']
ConfigOptionsDictType,5,,,,,,,,,5,CapitalizedWords,"['config', 'options', 'dict', 'type']"
ConfigSectionSourcesType,2,,,,,,,,,2,CapitalizedWords,"['config', 'section', 'sources', 'type']"
ConfigSourcesType,12,,,,,,,,,12,CapitalizedWords,"['config', 'sources', 'type']"
ENV_VAR_PREFIX,6,,,,,,,,,6,UPPER_CASE_WITH_UNDERSCORES,"['env', 'var', 'prefix']"
_parse_sqlite_version,2,1,,,,,,,,1,lower_case_with_underscores,"['parse', 'sqlite', 'version']"
s,90,,,,,11,,,,79,b,['s']
match,86,3,,,,,,,,83,lowercase,['match']
tuple,749,,,,,,,,,749,lowercase,['tuple']
p,78,,,,,2,,,,76,b,['p']
group,82,,,,,9,6,,,67,lowercase,['group']
expand_env_var,10,3,,,,,,,,7,lower_case_with_underscores,"['expand', 'env', 'var']"
env_var,26,,,,,4,,,,22,lower_case_with_underscores,"['env', 'var']"
interpolated,4,,,,,,,,,4,lowercase,['interpolated']
expanduser,23,,,1,,,,,,22,lowercase,['expanduser']
expandvars,1,,,,,,,,,1,lowercase,['expandvars']
run_command,12,3,,,,,,,,9,lower_case_with_underscores,"['run', 'command']"
process,70,2,,,,1,3,,,64,lowercase,['process']
Popen,32,,,3,,,,,,29,CapitalizedWords,['popen']
stdout,139,,,,,1,40,,,98,lowercase,['stdout']
PIPE,35,,,3,,,,,,32,UPPERCASE,"['pip', 'e']"
stderr,103,,,,,2,40,,,61,lowercase,['stderr']
close_fds,22,,,,,,22,,,,lower_case_with_underscores,"['close', 'fds']"
output,163,2,,,,7,28,,,126,lowercase,['output']
stream,45,1,,4,,5,7,,,28,lowercase,['stream']
getdefaultencoding,4,,,,,,,,,4,lowercase,['getdefaultencoding']
communicate,3,,,,,,,,,3,lowercase,['communicate']
returncode,43,,,,,,,,,43,lowercase,['returncode']
_get_config_value_from_secret_backend,4,1,,,,,,,,3,lower_case_with_underscores,"['get', 'config', 'value', 'from', 'secret', 'backend']"
config_key,2,,,,,1,,,,1,lower_case_with_underscores,"['config', 'key']"
secrets_client,3,,,,,,,,,3,lower_case_with_underscores,"['secrets', 'client']"
get_custom_secret_backend,3,1,,,,,,,,2,lower_case_with_underscores,"['get', 'custom', 'secret', 'backend']"
get_config,8,7,,,,,,,,1,lower_case_with_underscores,"['get', 'config']"
_default_config_file_path,9,1,,,,,,,,8,lower_case_with_underscores,"['default', 'config', 'file', 'path']"
file_name,67,,,,,13,10,,,44,lower_case_with_underscores,"['file', 'name']"
templates_dir,2,,,,,,,,,2,lower_case_with_underscores,"['templates', 'dir']"
dirname,49,,,,,,,,,49,lowercase,['dirname']
default_config_yaml,3,1,,1,,,,,,1,lower_case_with_underscores,"['default', 'config', 'yaml']"
config_file,33,,,,,3,4,,,26,lower_case_with_underscores,"['config', 'file']"
safe_load,12,1,,,,,,,,11,lower_case_with_underscores,"['safe', 'load']"
SENSITIVE_CONFIG_VALUES,4,,,1,,,,,,3,UPPER_CASE_WITH_UNDERSCORES,"['sensitive', 'config', 'values']"
AirflowConfigParser,14,,1,1,,,,,,12,CapitalizedWords,"['airflow', 'config', 'parser']"
